127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 200, 0.000916
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 200, 0.000680
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000451
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000307
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000310
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000277
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/js/share.js, HTTP/1.1, 200, 0.000335
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 200, 0.000310
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 200, 0.000182
127.0.0.1, 2013-10-07 18:04:03, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 200, 0.000182
127.0.0.1, 2013-10-07 18:04:04, GET, /lecture3/static/images/favicon.ico, HTTP/1.1, 200, 0.000367
127.0.0.1, 2013-10-07 18:08:29, GET, /lecture3/default/second, HTTP/1.1, 404, 0.013515
127.0.0.1, 2013-10-07 18:08:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2013-10-07 18:08:40, GET, /lecture3/default/index, HTTP/1.1, 200, 0.023085
127.0.0.1, 2013-10-07 18:08:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2013-10-07 18:09:16, GET, /lecture3/default/index, HTTP/1.1, 200, 0.026358
127.0.0.1, 2013-10-07 18:09:21, GET, /lecture3/default/second, HTTP/1.1, 404, 0.009048
127.0.0.1, 2013-10-07 18:09:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000199
127.0.0.1, 2013-10-07 18:09:23, GET, /lecture3/default/index, HTTP/1.1, 200, 0.020597
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/default/index, HTTP/1.1, 200, 0.028954
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.047835
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.046711
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.048458
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.046432
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.047232
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.047069
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.000265
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000291
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000274
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000471
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.016241
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.014278
127.0.0.1, 2013-10-07 18:11:15, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000279
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/default/index, HTTP/1.1, 200, 0.025663
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000278
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.000423
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000252
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.000232
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.000995
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.000380
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000356
